Country_name;Value
Ecuador;27 %
Liberia;30 %
South Africa;30 %
Botswana;32 %
Chile;36 %
Eswatini;37 %
Namibia;37 %
The Gambia;38 %
Zimbabwe;38 %
Malawi;40 %
Argentina;41 %
Gabon;41 %
Myanmar;42 %
Zambia;43 %
Chad;44 %
Democratic Republic of Congo;44 %
Cameroon;45 %
Colombia;45 %
Mexico;45 %
Peru;45 %
Venezuela;45 %
Dominican Republic;46 %
The Republic of the Congo;47 %
Uganda;47 %
Bolivia;48 %
Brazil;48 %
Costa Rica;48 %
Kenya;48 %
Lebanon;48 %
Guinea;49 %
Madagascar;49 %
Sierra Leone;49 %
Paraguay;50 %
Togo;50 %
Côte d'Ivoire;51 %
Mongolia;51 %
Mozambique;51 %
Burkina Faso;52 %
Uruguay;52 %
Ethiopia;53 %
Pakistan;53 %
Senegal;54 %
Sri Lanka;54 %
Lao People's Democratic Republic;55 %
Nigeria;55 %
Mauritania;56 %
Yemen;56 %
Benin;58 %
Guatemala;58 %
New Zealand;58 %
Bulgaria;59 %
Cambodia;59 %
Ukraine;59 %
Nepal;60 %
Niger;60 %
Panama;60 %
Comoros;62 %
Honduras;62 %
Philippines;62 %
Romania;63 %
Greece;64 %
Italy;64 %
Thailand;64 %
Mauritius;65 %
Tunisia;65 %
Cyprus;66 %
Poland;66 %
Slovakia;66 %
Türkiye;66 %
Kazakhstan;67 %
Libya;67 %
Tanzania;67 %
Australia;68 %
Belgium;68 %
Israel;68 %
Mali;68 %
Morocco;68 %
Malaysia;69 %
Ghana;70 %
India;70 %
Croatia;71 %
Russian Federation;71 %
State of Palestine;71 %
Bosnia and Herzegovina;72 %
Hungary;72 %
Kyrgyzstan;72 %
Lithuania;72 %
Republic of Moldova;72 %
North Macedonia;72 %
United States of America;72 %
Albania;73 %
Canada;73 %
Czech Republic;73 %
France;73 %
Iran;73 %
Malta;73 %
Germany;74 %
Azerbaijan;75 %
Iraq;75 %
Latvia;75 %
Northern Cyprus;75 %
Jordan;76 %
South Korea;76 %
United Kingdom of Great Britain and Northern Ireland;76 %
Japan;77 %
Vietnam;77 %
Bangladesh;78 %
Ireland;78 %
Serbia;78 %
Georgia;79 %
Sweden;79 %
Egypt;81 %
Somalia;81 %
Austria;82 %
Spain;82 %
Indonesia;83 %
Netherlands;83 %
Portugal;83 %
Taiwan, Province of China;84 %
Uzbekistan;84 %
Estonia;85 %
Finland;85 %
Hong Kong (S.A.R. of China);85 %
Armenia;86 %
China;86 %
Denmark;86 %
Bahrain;87 %
Iceland;87 %
Kosovo;87 %
Luxembourg;87 %
Switzerland;87 %
El Salvador;88 %
Montenegro;88 %
United Arab Emirates;90 %
Slovenia;91 %
Norway;92 %
Saudi Arabia;92 %
Tajikistan;92 %
Singapore;94 %
Kuwait;99 %
